"","ID","RP","SP","RP_journey","SP_task","av_car","av_rail","time_car","cost_car","time_rail","cost_rail","access_rail","service_rail","female","business","income","choice"
"200",13,0,1,NA,6,1,1,390,30,140,55,15,1,0,1,55038,2
"201",13,0,1,NA,7,1,1,345,40,130,35,20,1,0,1,55038,2
"202",13,0,1,NA,8,1,1,345,45,120,45,5,1,0,1,55038,2
"206",13,0,1,NA,12,1,1,300,45,155,65,20,3,0,1,55038,2
"207",13,0,1,NA,13,1,1,345,30,155,55,10,2,0,1,55038,2
"226",15,1,0,2,NA,1,1,250,50,120,75,10,0,0,1,34560,2
"227",15,0,1,NA,1,1,1,250,45,170,35,25,2,0,1,34560,2
"228",15,0,1,NA,2,1,1,275,50,140,35,15,3,0,1,34560,2
"229",15,0,1,NA,3,1,1,390,40,130,75,15,1,0,1,34560,1
"230",15,0,1,NA,4,1,1,390,40,120,75,20,3,0,1,34560,2
"231",15,0,1,NA,5,1,1,300,40,170,35,5,3,0,1,34560,2
"232",15,0,1,NA,6,1,1,345,30,155,55,20,3,0,1,34560,1
"233",15,0,1,NA,7,1,1,275,40,170,35,25,3,0,1,34560,2
"234",15,0,1,NA,8,1,1,300,50,130,75,5,2,0,1,34560,2
"235",15,0,1,NA,9,1,1,250,30,170,55,20,3,0,1,34560,1
"236",15,0,1,NA,10,1,1,345,35,170,45,5,2,0,1,34560,2
"237",15,0,1,NA,11,1,1,275,50,155,55,20,1,0,1,34560,2
"238",15,0,1,NA,12,1,1,300,45,140,45,10,3,0,1,34560,2
"239",15,0,1,NA,13,1,1,345,30,140,65,20,3,0,1,34560,2
"240",15,0,1,NA,14,1,1,300,35,170,35,25,2,0,1,34560,2
"241",16,1,0,1,NA,1,1,275,35,140,65,20,0,1,1,70011,2
"242",16,1,0,2,NA,1,1,345,35,120,75,10,0,1,1,70011,2
"243",16,0,1,NA,1,1,1,250,30,140,65,15,1,1,1,70011,2
"244",16,0,1,NA,2,1,1,300,35,155,35,15,2,1,1,70011,2
"245",16,0,1,NA,3,1,1,300,35,155,45,15,3,1,1,70011,2
"246",16,0,1,NA,4,1,1,250,50,140,75,10,3,1,1,70011,2
"247",16,0,1,NA,5,1,1,390,30,130,65,25,1,1,1,70011,2
"248",16,0,1,NA,6,1,1,390,35,130,35,10,1,1,1,70011,2
"249",16,0,1,NA,7,1,1,300,45,120,65,5,1,1,1,70011,2
"250",16,0,1,NA,8,1,1,300,40,155,35,5,2,1,1,70011,2
"251",16,0,1,NA,9,1,1,390,30,120,55,15,1,1,1,70011,2
"252",16,0,1,NA,10,1,1,275,40,170,55,25,2,1,1,70011,2
"253",16,0,1,NA,11,1,1,345,35,170,45,5,2,1,1,70011,2
"254",16,0,1,NA,12,1,1,275,50,155,55,15,2,1,1,70011,1
"255",16,0,1,NA,13,1,1,250,50,120,65,10,1,1,1,70011,2
"256",16,0,1,NA,14,1,1,345,40,155,45,5,2,1,1,70011,2
"273",18,1,0,1,NA,1,1,300,45,120,35,10,0,1,0,64183,1
"274",18,1,0,2,NA,1,1,250,40,170,35,25,0,1,0,64183,1
"276",18,0,1,NA,2,1,1,275,50,120,65,10,2,1,0,64183,2
"277",18,0,1,NA,3,1,1,300,30,140,75,25,2,1,0,64183,2
"278",18,0,1,NA,4,1,1,390,30,130,65,25,3,1,0,64183,2
"280",18,0,1,NA,6,1,1,275,30,170,35,25,2,1,0,64183,2
"281",18,0,1,NA,7,1,1,300,40,155,65,20,1,1,0,64183,1
"282",18,0,1,NA,8,1,1,345,35,170,35,15,1,1,0,64183,2
"283",18,0,1,NA,9,1,1,250,40,170,45,10,2,1,0,64183,2
"284",18,0,1,NA,10,1,1,250,40,155,75,25,2,1,0,64183,1
"285",18,0,1,NA,11,1,1,345,35,155,35,10,1,1,0,64183,2
"286",18,0,1,NA,12,1,1,390,35,170,35,25,3,1,0,64183,1
"288",18,0,1,NA,14,1,1,300,40,170,65,25,2,1,0,64183,2
"289",19,1,0,1,NA,1,1,390,30,130,75,15,0,0,0,67591,1
"291",19,0,1,NA,1,1,1,345,45,120,45,5,1,0,0,67591,1
"292",19,0,1,NA,2,1,1,250,45,120,75,5,2,0,0,67591,1
"293",19,0,1,NA,3,1,1,300,45,130,75,15,3,0,0,67591,1
"294",19,0,1,NA,4,1,1,390,30,130,65,20,1,0,0,67591,1
"295",19,0,1,NA,5,1,1,250,45,155,45,20,1,0,0,67591,1
"297",19,0,1,NA,7,1,1,250,45,155,65,15,3,0,0,67591,2
"298",19,0,1,NA,8,1,1,275,50,155,35,10,3,0,0,67591,2
"299",19,0,1,NA,9,1,1,345,50,155,45,5,3,0,0,67591,2
"300",19,0,1,NA,10,1,1,390,35,120,75,15,2,0,0,67591,1
"301",19,0,1,NA,11,1,1,300,30,155,45,25,1,0,0,67591,1
"302",19,0,1,NA,12,1,1,300,35,155,45,20,1,0,0,67591,1
"303",19,0,1,NA,13,1,1,250,50,120,55,25,2,0,0,67591,2
"304",19,0,1,NA,14,1,1,390,35,120,55,10,1,0,0,67591,2
"321",21,1,0,1,NA,1,1,275,50,120,75,15,0,1,1,23717,2
"322",21,1,0,2,NA,1,1,250,45,170,45,20,0,1,1,23717,1
"323",21,0,1,NA,1,1,1,390,40,170,35,5,2,1,1,23717,2
"324",21,0,1,NA,2,1,1,390,30,140,55,5,1,1,1,23717,2
"325",21,0,1,NA,3,1,1,250,50,120,75,5,3,1,1,23717,1
"326",21,0,1,NA,4,1,1,300,30,155,75,25,2,1,1,23717,1
"327",21,0,1,NA,5,1,1,250,40,170,35,25,2,1,1,23717,2
"328",21,0,1,NA,6,1,1,275,30,130,75,25,2,1,1,23717,1
"329",21,0,1,NA,7,1,1,275,45,170,35,10,2,1,1,23717,2
"330",21,0,1,NA,8,1,1,390,35,140,55,10,1,1,1,23717,2
"331",21,0,1,NA,9,1,1,345,35,140,45,25,3,1,1,23717,1
"332",21,0,1,NA,10,1,1,345,45,120,35,5,1,1,1,23717,2
"333",21,0,1,NA,11,1,1,250,50,130,75,15,3,1,1,23717,1
"334",21,0,1,NA,12,1,1,390,30,170,35,25,3,1,1,23717,2
"335",21,0,1,NA,13,1,1,275,45,140,65,15,2,1,1,23717,1
"336",21,0,1,NA,14,1,1,300,45,140,55,10,3,1,1,23717,2
"353",23,1,0,1,NA,1,1,345,35,130,75,15,0,1,0,23005,1
"357",23,0,1,NA,3,1,1,275,45,130,55,20,3,1,0,23005,1
"361",23,0,1,NA,7,1,1,345,40,130,35,20,1,1,0,23005,2
"362",23,0,1,NA,8,1,1,345,45,120,45,5,1,1,0,23005,2
"363",23,0,1,NA,9,1,1,345,30,170,35,15,1,1,0,23005,2
"366",23,0,1,NA,12,1,1,300,45,155,65,20,3,1,0,23005,2
"369",24,1,0,1,NA,1,1,300,40,170,45,15,0,1,0,61433,2
"372",24,0,1,NA,2,1,1,345,40,130,45,10,1,1,0,61433,2
"373",24,0,1,NA,3,1,1,390,30,130,55,5,1,1,0,61433,1
"374",24,0,1,NA,4,1,1,345,40,140,45,10,2,1,0,61433,2
"375",24,0,1,NA,5,1,1,300,50,130,75,10,3,1,0,61433,2
"376",24,0,1,NA,6,1,1,390,30,140,65,25,1,1,0,61433,1
"377",24,0,1,NA,7,1,1,345,40,120,45,10,1,1,0,61433,2
"378",24,0,1,NA,8,1,1,345,45,120,45,10,3,1,0,61433,2
"380",24,0,1,NA,10,1,1,250,35,170,45,25,2,1,0,61433,2
"381",24,0,1,NA,11,1,1,390,30,120,65,25,3,1,0,61433,2
"382",24,0,1,NA,12,1,1,250,50,140,65,20,1,1,0,61433,1
"383",24,0,1,NA,13,1,1,390,30,140,75,10,3,1,0,61433,2
"384",24,0,1,NA,14,1,1,345,40,140,35,5,3,1,0,61433,2
"385",25,1,0,1,NA,1,1,345,30,155,55,20,0,0,0,20982,1
"387",25,0,1,NA,1,1,1,250,45,170,35,25,2,0,0,20982,2
"388",25,0,1,NA,2,1,1,275,50,140,35,15,3,0,0,20982,2
"389",25,0,1,NA,3,1,1,390,40,130,75,15,1,0,0,20982,1
"391",25,0,1,NA,5,1,1,300,40,170,35,5,3,0,0,20982,1
"392",25,0,1,NA,6,1,1,275,40,170,35,25,3,0,0,20982,2
"395",25,0,1,NA,9,1,1,250,30,170,55,20,3,0,0,20982,1
"397",25,0,1,NA,11,1,1,275,50,155,55,20,1,0,0,20982,1
"398",25,0,1,NA,12,1,1,300,45,140,45,10,3,0,0,20982,2
"399",25,0,1,NA,13,1,1,250,50,120,75,10,2,0,0,20982,1
"400",25,0,1,NA,14,1,1,300,35,170,35,25,2,0,0,20982,2
"403",26,0,1,NA,1,1,1,250,30,140,65,15,1,0,1,57857,1
"404",26,0,1,NA,2,1,1,300,35,155,35,15,2,0,1,57857,2
"405",26,0,1,NA,3,1,1,250,50,140,75,10,3,0,1,57857,1
"408",26,0,1,NA,6,1,1,390,35,130,35,10,1,0,1,57857,2
"410",26,0,1,NA,8,1,1,300,40,155,35,5,2,0,1,57857,2
"411",26,0,1,NA,9,1,1,390,30,120,55,15,1,0,1,57857,2
"412",26,0,1,NA,10,1,1,275,40,170,55,25,2,0,1,57857,1
"413",26,0,1,NA,11,1,1,345,35,170,45,5,2,0,1,57857,2
"414",26,0,1,NA,12,1,1,275,50,155,55,15,2,0,1,57857,2
"416",26,0,1,NA,14,1,1,345,40,155,45,5,2,0,1,57857,2
"418",27,1,0,2,NA,1,1,275,40,170,35,15,0,1,0,60373,2
"419",27,0,1,NA,1,1,1,275,45,170,55,25,3,1,0,60373,2
"420",27,0,1,NA,2,1,1,275,45,155,35,5,1,1,0,60373,1
"421",27,0,1,NA,3,1,1,300,45,155,65,20,1,1,0,60373,2
"422",27,0,1,NA,4,1,1,390,35,155,65,15,3,1,0,60373,2
"423",27,0,1,NA,5,1,1,275,40,155,55,5,3,1,0,60373,1
"424",27,0,1,NA,6,1,1,250,50,120,65,20,2,1,0,60373,1
"425",27,0,1,NA,7,1,1,250,45,170,35,15,3,1,0,60373,1
"426",27,0,1,NA,8,1,1,275,30,155,65,25,2,1,0,60373,1
"427",27,0,1,NA,9,1,1,390,30,120,65,15,1,1,0,60373,2
"428",27,0,1,NA,10,1,1,275,50,120,55,5,3,1,0,60373,2
"429",27,0,1,NA,11,1,1,390,35,130,55,15,1,1,0,60373,1
"430",27,0,1,NA,12,1,1,300,45,170,45,5,1,1,0,60373,2
"431",27,0,1,NA,13,1,1,345,30,140,65,15,1,1,0,60373,1
"465",30,1,0,1,NA,1,1,390,35,155,55,15,0,1,0,51858,1
"468",30,0,1,NA,2,1,1,300,30,170,55,25,2,1,0,51858,1
"469",30,0,1,NA,3,1,1,345,45,130,35,5,3,1,0,51858,2
"470",30,0,1,NA,4,1,1,300,45,120,55,5,3,1,0,51858,2
"471",30,0,1,NA,5,1,1,345,30,170,45,10,2,1,0,51858,1
"472",30,0,1,NA,6,1,1,345,30,120,75,10,2,1,0,51858,1
"473",30,0,1,NA,7,1,1,250,50,120,45,20,2,1,0,51858,2
"474",30,0,1,NA,8,1,1,275,35,170,35,20,3,1,0,51858,1
"475",30,0,1,NA,9,1,1,275,50,120,45,15,3,1,0,51858,1
"476",30,0,1,NA,10,1,1,275,50,120,45,20,2,1,0,51858,2
"477",30,0,1,NA,11,1,1,300,45,170,35,5,3,1,0,51858,2
"478",30,0,1,NA,12,1,1,275,50,130,65,15,3,1,0,51858,1
"479",30,0,1,NA,13,1,1,345,30,140,75,5,2,1,0,51858,2
"481",31,1,0,1,NA,1,1,250,40,170,35,25,0,1,1,50941,1
"482",31,1,0,2,NA,1,1,300,45,140,55,10,0,1,1,50941,1
"483",31,0,1,NA,1,1,1,390,40,170,35,5,2,1,1,50941,2
"484",31,0,1,NA,2,1,1,390,30,140,55,5,1,1,1,50941,2
"485",31,0,1,NA,3,1,1,250,50,120,75,5,3,1,1,50941,2
"486",31,0,1,NA,4,1,1,300,30,155,75,25,2,1,1,50941,2
"487",31,0,1,NA,5,1,1,275,30,130,75,25,2,1,1,50941,1
"488",31,0,1,NA,6,1,1,275,45,170,35,10,2,1,1,50941,2
"489",31,0,1,NA,7,1,1,275,50,120,75,15,3,1,1,50941,2
"490",31,0,1,NA,8,1,1,250,45,170,45,20,2,1,1,50941,1
"491",31,0,1,NA,9,1,1,390,35,140,55,10,1,1,1,50941,2
"492",31,0,1,NA,10,1,1,345,35,140,45,25,3,1,1,50941,2
"493",31,0,1,NA,11,1,1,345,45,120,35,5,1,1,1,50941,2
"494",31,0,1,NA,12,1,1,250,50,130,75,15,3,1,1,50941,2
"495",31,0,1,NA,13,1,1,390,30,170,35,25,3,1,1,50941,2
"496",31,0,1,NA,14,1,1,275,45,140,65,15,2,1,1,50941,1
"497",32,1,0,1,NA,1,1,275,45,130,35,15,0,0,0,26155,2
"499",32,0,1,NA,1,1,1,300,40,170,35,25,2,0,0,26155,2
"500",32,0,1,NA,2,1,1,345,40,130,55,20,3,0,0,26155,1
"501",32,0,1,NA,3,1,1,390,35,140,45,20,1,0,0,26155,2
"502",32,0,1,NA,4,1,1,345,35,130,65,5,2,0,0,26155,1
"503",32,0,1,NA,5,1,1,275,40,140,55,20,1,0,0,26155,1
"504",32,0,1,NA,6,1,1,250,50,140,55,25,1,0,0,26155,1
"506",32,0,1,NA,8,1,1,250,35,155,55,20,2,0,0,26155,1
"507",32,0,1,NA,9,1,1,300,35,140,45,20,2,0,0,26155,1
"508",32,0,1,NA,10,1,1,390,35,140,75,20,1,0,0,26155,1
"509",32,0,1,NA,11,1,1,275,50,155,35,20,1,0,0,26155,2
"510",32,0,1,NA,12,1,1,300,40,170,45,5,1,0,0,26155,2
"511",32,0,1,NA,13,1,1,345,45,130,45,10,1,0,0,26155,2
"512",32,0,1,NA,14,1,1,275,50,120,75,5,3,0,0,26155,1
"513",33,1,0,1,NA,1,1,345,35,130,75,15,0,1,0,45590,1
"516",33,0,1,NA,2,1,1,345,35,140,55,5,3,1,0,45590,2
"517",33,0,1,NA,3,1,1,275,45,130,55,20,3,1,0,45590,1
"521",33,0,1,NA,7,1,1,345,40,130,35,20,1,1,0,45590,2
"522",33,0,1,NA,8,1,1,345,45,120,45,5,1,1,0,45590,2
"523",33,0,1,NA,9,1,1,345,30,170,35,15,1,1,0,45590,2
"525",33,0,1,NA,11,1,1,250,40,155,45,25,1,1,0,45590,1
"526",33,0,1,NA,12,1,1,300,45,155,65,20,3,1,0,45590,1
"529",34,1,0,1,NA,1,1,300,50,130,75,10,0,0,1,37323,2
"530",34,1,0,2,NA,1,1,345,45,120,45,10,0,0,1,37323,2
"531",34,0,1,NA,1,1,1,390,35,155,55,15,3,0,1,37323,2
"532",34,0,1,NA,2,1,1,345,40,130,45,10,1,0,1,37323,2
"533",34,0,1,NA,3,1,1,390,30,130,55,5,1,0,1,37323,2
"534",34,0,1,NA,4,1,1,345,40,140,45,10,2,0,1,37323,2
"535",34,0,1,NA,5,1,1,390,30,140,65,25,1,0,1,37323,2
"536",34,0,1,NA,6,1,1,345,40,120,45,10,1,0,1,37323,2
"537",34,0,1,NA,7,1,1,300,40,170,45,15,2,0,1,37323,2
"538",34,0,1,NA,8,1,1,300,50,140,65,5,1,0,1,37323,2
"539",34,0,1,NA,9,1,1,275,50,155,45,10,1,0,1,37323,2
"540",34,0,1,NA,10,1,1,250,35,170,45,25,2,0,1,37323,1
"541",34,0,1,NA,11,1,1,390,30,120,65,25,3,0,1,37323,2
"542",34,0,1,NA,12,1,1,250,50,140,65,20,1,0,1,37323,1
"543",34,0,1,NA,13,1,1,390,30,140,75,10,3,0,1,37323,2
"544",34,0,1,NA,14,1,1,345,40,140,35,5,3,0,1,37323,2
"547",35,0,1,NA,1,1,1,275,50,140,35,15,3,1,0,48824,1
"548",35,0,1,NA,2,1,1,390,40,130,75,15,1,1,0,48824,1
"549",35,0,1,NA,3,1,1,390,40,120,75,20,3,1,0,48824,2
"550",35,0,1,NA,4,1,1,300,40,170,35,5,3,1,0,48824,2
"551",35,0,1,NA,5,1,1,345,30,155,55,20,3,1,0,48824,1
"553",35,0,1,NA,7,1,1,345,35,130,65,20,3,1,0,48824,1
"555",35,0,1,NA,9,1,1,250,30,170,55,20,3,1,0,48824,1
"556",35,0,1,NA,10,1,1,345,35,170,45,5,2,1,0,48824,2
"558",35,0,1,NA,12,1,1,300,45,140,45,10,3,1,0,48824,2
"559",35,0,1,NA,13,1,1,345,30,140,65,20,3,1,0,48824,2
"560",35,0,1,NA,14,1,1,300,35,170,35,25,2,1,0,48824,1
"577",37,1,0,1,NA,1,1,250,45,170,35,15,0,0,1,47727,2
"578",37,1,0,2,NA,1,1,275,50,120,55,5,0,0,1,47727,1
"579",37,0,1,NA,1,1,1,275,50,120,45,5,1,0,1,47727,2
"580",37,0,1,NA,2,1,1,275,45,170,55,25,3,0,1,47727,2
"581",37,0,1,NA,3,1,1,275,45,155,35,5,1,0,1,47727,2
"582",37,0,1,NA,4,1,1,300,45,155,65,20,1,0,1,47727,1
"583",37,0,1,NA,5,1,1,390,35,155,65,15,3,0,1,47727,1
"584",37,0,1,NA,6,1,1,275,40,155,55,5,3,0,1,47727,2
"585",37,0,1,NA,7,1,1,250,50,120,65,20,2,0,1,47727,1
"586",37,0,1,NA,8,1,1,275,40,170,35,15,3,0,1,47727,2
"587",37,0,1,NA,9,1,1,275,30,155,65,25,2,0,1,47727,2
"588",37,0,1,NA,10,1,1,390,30,120,65,15,1,0,1,47727,1
"589",37,0,1,NA,11,1,1,390,35,130,55,15,1,0,1,47727,2
"590",37,0,1,NA,12,1,1,300,45,170,45,5,1,0,1,47727,1
"591",37,0,1,NA,13,1,1,345,30,140,65,15,1,0,1,47727,2
"592",37,0,1,NA,14,1,1,250,40,140,75,20,2,0,1,47727,1
"593",38,1,0,1,NA,1,1,300,40,130,75,10,0,1,0,55826,1
"594",38,1,0,2,NA,1,1,250,40,155,75,25,0,1,0,55826,2
"596",38,0,1,NA,2,1,1,275,50,120,65,10,2,1,0,55826,2
"597",38,0,1,NA,3,1,1,300,30,140,75,25,2,1,0,55826,1
"598",38,0,1,NA,4,1,1,390,30,130,65,25,3,1,0,55826,2
"599",38,0,1,NA,5,1,1,300,45,120,35,10,2,1,0,55826,2
"600",38,0,1,NA,6,1,1,275,30,170,35,25,2,1,0,55826,2
"601",38,0,1,NA,7,1,1,300,40,155,65,20,1,1,0,55826,1
"602",38,0,1,NA,8,1,1,345,35,170,35,15,1,1,0,55826,1
"603",38,0,1,NA,9,1,1,250,40,170,45,10,2,1,0,55826,2
"604",38,0,1,NA,10,1,1,345,35,155,35,10,1,1,0,55826,2
"605",38,0,1,NA,11,1,1,390,35,170,35,25,3,1,0,55826,2
"606",38,0,1,NA,12,1,1,250,45,140,65,25,2,1,0,55826,1
"607",38,0,1,NA,13,1,1,250,40,170,35,25,2,1,0,55826,2
"609",39,1,0,1,NA,1,1,250,45,120,75,5,0,1,1,50675,2
"610",39,1,0,2,NA,1,1,390,35,120,75,15,0,1,1,50675,2
"611",39,0,1,NA,1,1,1,390,30,130,75,15,3,1,1,50675,2
"612",39,0,1,NA,2,1,1,345,45,120,45,5,1,1,1,50675,2
"613",39,0,1,NA,3,1,1,300,45,130,75,15,3,1,1,50675,2
"614",39,0,1,NA,4,1,1,390,30,130,65,20,1,1,1,50675,2
"615",39,0,1,NA,5,1,1,250,45,155,45,20,1,1,1,50675,2
"616",39,0,1,NA,6,1,1,390,40,155,65,25,1,1,1,50675,2
"617",39,0,1,NA,7,1,1,250,45,155,65,15,3,1,1,50675,2
"618",39,0,1,NA,8,1,1,275,40,130,65,20,1,1,1,50675,1
"619",39,0,1,NA,9,1,1,275,50,155,35,10,3,1,1,50675,1
"620",39,0,1,NA,10,1,1,345,50,155,45,5,3,1,1,50675,1
"621",39,0,1,NA,11,1,1,300,30,155,45,25,1,1,1,50675,1
"622",39,0,1,NA,12,1,1,300,35,155,45,20,1,1,1,50675,2
"623",39,0,1,NA,13,1,1,250,50,120,55,25,2,1,1,50675,2
"624",39,0,1,NA,14,1,1,390,35,120,55,10,1,1,1,50675,2
"625",40,1,0,1,NA,1,1,390,35,130,75,25,0,0,0,55461,1
"626",40,1,0,2,NA,1,1,390,35,140,55,5,0,0,0,55461,1
"627",40,0,1,NA,1,1,1,300,30,170,55,25,2,0,0,55461,1
"628",40,0,1,NA,2,1,1,345,45,130,35,5,3,0,0,55461,2
"630",40,0,1,NA,4,1,1,300,45,120,55,5,3,0,0,55461,2
"631",40,0,1,NA,5,1,1,345,30,170,45,10,2,0,0,55461,1
"632",40,0,1,NA,6,1,1,345,30,120,75,10,2,0,0,55461,2
"633",40,0,1,NA,7,1,1,250,50,120,45,20,2,0,0,55461,2
"634",40,0,1,NA,8,1,1,275,35,170,35,20,3,0,0,55461,2
"635",40,0,1,NA,9,1,1,275,50,120,45,15,3,0,0,55461,2
"636",40,0,1,NA,10,1,1,275,50,120,45,20,2,0,0,55461,2
"637",40,0,1,NA,11,1,1,300,45,170,35,5,3,0,0,55461,2
"638",40,0,1,NA,12,1,1,275,50,130,65,15,3,0,0,55461,1
"639",40,0,1,NA,13,1,1,345,30,140,75,5,2,0,0,55461,1
"640",40,0,1,NA,14,1,1,250,50,130,65,10,2,0,0,55461,2
"657",42,1,0,1,NA,1,1,300,40,170,35,25,0,0,0,69128,1
"658",42,1,0,2,NA,1,1,250,35,155,55,20,0,0,0,69128,1
"659",42,0,1,NA,1,1,1,345,40,130,55,20,3,0,0,69128,2
"660",42,0,1,NA,2,1,1,390,35,140,45,20,1,0,0,69128,2
"661",42,0,1,NA,3,1,1,345,35,130,65,5,2,0,0,69128,2
"662",42,0,1,NA,4,1,1,275,40,140,55,20,1,0,0,69128,1
"663",42,0,1,NA,5,1,1,275,45,130,35,15,3,0,0,69128,2
"664",42,0,1,NA,6,1,1,250,50,140,55,25,1,0,0,69128,2
"665",42,0,1,NA,7,1,1,390,30,130,75,10,2,0,0,69128,1
"666",42,0,1,NA,8,1,1,300,35,140,45,20,2,0,0,69128,2
"667",42,0,1,NA,9,1,1,390,30,130,75,10,1,0,0,69128,2
"668",42,0,1,NA,10,1,1,390,35,140,75,20,1,0,0,69128,1
